time,x,y,z
5.076000,1.179098,-0.253655,0.748199
5.108000,1.179884,-0.252983,0.751443
5.142000,1.182366,-0.251791,0.762581
5.175000,1.184858,-0.250754,0.771942
5.208000,1.186971,-0.252697,0.779219
5.242000,1.186971,-0.252697,0.779219
5.276000,1.190948,-0.257195,0.785160
5.308000,1.194117,-0.262108,0.788619
5.342000,1.199938,-0.269591,0.791896
5.375000,1.204769,-0.277990,0.793677
5.408000,1.204769,-0.277990,0.793677
5.443000,1.206127,-0.285524,0.793620
5.475000,1.205752,-0.291188,0.792927
5.509000,1.205146,-0.293325,0.792748
5.542000,1.201769,-0.298155,0.792925
5.575000,1.200936,-0.298547,0.792272
5.608000,1.198238,-0.294862,0.784402
5.642000,1.191180,-0.288943,0.768979
5.675000,1.177637,-0.281389,0.741532
5.709000,1.177637,-0.281389,0.741532
5.742000,1.164986,-0.276532,0.717795
5.775000,1.157906,-0.274068,0.705865
5.808000,1.151739,-0.271508,0.695209
5.843000,1.136571,-0.265804,0.673413
5.875000,1.135301,-0.265348,0.671808
5.909000,1.122647,-0.260207,0.656148
5.942000,1.108945,-0.254561,0.642550
5.975000,1.087693,-0.244698,0.625538
6.008000,1.087693,-0.244698,0.625538
6.043000,1.066223,-0.233783,0.612542
6.075000,1.066223,-0.233783,0.612542
6.108000,1.048314,-0.224335,0.604367
6.142000,1.032390,-0.215586,0.598847
6.176000,1.032390,-0.215586,0.598847
6.208000,1.020622,-0.208343,0.595510
6.242000,1.032544,-0.196896,0.596470
6.276000,1.033619,-0.196131,0.596646
6.309000,1.047196,-0.191276,0.599748
6.342000,1.053617,-0.194171,0.602459
6.376000,1.059021,-0.197338,0.605168
6.408000,1.064962,-0.203013,0.608251
6.442000,1.066234,-0.205855,0.609079
6.475000,1.066234,-0.205855,0.609079
6.508000,1.066885,-0.207558,0.608855
6.542000,1.067284,-0.211198,0.608792
6.575000,1.067979,-0.212040,0.609038
6.608000,1.072085,-0.216545,0.610677
6.642000,1.074149,-0.218669,0.611739
6.675000,1.076781,-0.220618,0.613033
6.708000,1.084927,-0.227611,0.617732
6.742000,1.091746,-0.232276,0.621947
6.775000,1.094565,-0.234152,0.623801
6.809000,1.099375,-0.236812,0.626847
6.842000,1.104092,-0.240005,0.629991
6.875000,1.113760,-0.246326,0.636341
