time,x,y,z
5.299947,0.481477,0.446121,2.499181
5.333280,0.487403,0.443483,2.494148
5.366613,0.492852,0.437230,2.490846
5.399946,0.497299,0.428979,2.491042
5.433279,0.501236,0.419472,2.493806
5.466612,0.505373,0.408761,2.498146
5.499945,0.510781,0.398735,2.501231
5.533278,0.517929,0.389851,2.503443
5.566611,0.527844,0.381859,2.504170
5.599944,0.540049,0.376434,2.502284
5.633277,0.553718,0.372952,2.496414
5.666610,0.567393,0.371995,2.486648
5.699943,0.579645,0.374068,2.473488
5.733276,0.589423,0.379053,2.456201
5.766609,0.596271,0.386673,2.435410
5.799942,0.600138,0.397266,2.411682
5.833275,0.601251,0.410139,2.384181
5.866608,0.600784,0.424329,2.352386
5.899941,0.597599,0.438608,2.323392
5.933274,0.598438,0.453769,2.275141
5.966607,0.598929,0.468352,2.215116
5.999940,0.596166,0.482051,2.145389
6.033273,0.588832,0.492161,2.071195
6.066606,0.574879,0.497859,1.996004
6.099939,0.552744,0.498927,1.923100
6.133272,0.524779,0.495585,1.858173
6.166605,0.494816,0.489115,1.805535
6.199938,0.465983,0.481210,1.765159
6.233271,0.441544,0.472472,1.737078
6.266604,0.423666,0.462533,1.720611
6.299937,0.412621,0.451021,1.714030
6.333270,0.408226,0.438462,1.715956
6.366603,0.412690,0.425988,1.727076
6.399936,0.421507,0.414818,1.744106
6.433269,0.433956,0.406689,1.768208
6.466602,0.449066,0.401469,1.799306
6.499935,0.465609,0.399204,1.836996
6.533268,0.481795,0.400179,1.879800
6.566601,0.496581,0.404536,1.925838
6.599934,0.509360,0.411390,1.974211
6.633267,0.519419,0.420362,2.023485
6.666600,0.526033,0.430388,2.070109
6.699933,0.529284,0.439707,2.113279
6.733266,0.529304,0.446724,2.150827
6.766599,0.526822,0.451421,2.180677
6.799932,0.523980,0.453837,2.202891
6.833265,0.522604,0.454000,2.220197
6.866598,0.522084,0.453006,2.229149
6.899931,0.520931,0.451909,2.237938
6.933264,0.520201,0.450150,2.246452
6.966597,0.519720,0.448159,2.254983
6.999930,0.519871,0.447009,2.263060
7.033263,0.521141,0.447352,2.269880
7.066596,0.524037,0.450146,2.274429
7.099929,0.528924,0.454885,2.276563
7.133262,0.536490,0.462059,2.274982
